building,floor,day_of_week,item_per_kilo_before,item_per_kilo_after
Bartlett,20,Monday,0.0,
Bartlett,19,Monday,6.666666667,
Bartlett,18,Monday,0.0,
Bartlett,17,Monday,0.0,
Bartlett,16,Monday,0.0,
Bartlett,15,Monday,0.0,
Bartlett,14,Monday,0.0,
Bartlett,13,Monday,0.0,
Bartlett,12,Monday,0.0,
Bartlett,11,Monday,0.0,
Bartlett,10,Monday,0.0,
Bartlett,9,Monday,16.0,
Bartlett,8,Monday,0.0,
Bartlett,7,Monday,1.6666666669999999,
Bartlett,6,Monday,0.0,
Bartlett,5,Monday,4.0,
Bartlett,4,Monday,0.0,
Bartlett,3,Monday,0.0,
Braeburn,19,Monday,3.333333333,0.0
Braeburn,18,Monday,0.0,0.0
Braeburn,17,Monday,0.0,2.222222222
Braeburn,16,Monday,0.0,0.0
Braeburn,15,Monday,0.0,0.0
Braeburn,14,Monday,5.0,0.0
Braeburn,13,Monday,0.0,105.0
Braeburn,12,Monday,3.529411765,2.0
Braeburn,11,Monday,0.0,5.714285714
Braeburn,10,Monday,5.0,1.8181818180000002
Braeburn,9,Monday,3.243243243,0.0
Braeburn,8,Monday,4.615384615,0.0
Braeburn,7,Monday,0.0,0.0
Braeburn,6,Monday,0.0,3.333333333
Braeburn,5,Monday,0.0,5.0
Braeburn,4,Monday,8.0,1.6666666669999999
Braeburn,3,Monday,0.0,7.5
Barlett,20,Tuesday,0.0,
Barlett,29,Tuesday,1.4814814809999999,
Barlett,18,Tuesday,0.0,
Barlett,17,Tuesday,2.222222222,
Barlett,16,Tuesday,4.0,
Barlett,15,Tuesday,0.0,
Barlett,14,Tuesday,1.25,
Barlett,13,Tuesday,0.0,
Barlett,12,Tuesday,1.6,
Barlett,11,Tuesday,0.0,
Barlett,10,Tuesday,0.0,
Barlett,9,Tuesday,0.0,
Barlett,8,Tuesday,0.0,
Barlett,7,Tuesday,7.272727272999999,
Barlett,6,Tuesday,0.0,
Barlett,5,Tuesday,13.33333333,
Barlett,4,Tuesday,2.857142857,
Barlett,3,Tuesday,0.0,
Braeburn,19,Tuesday,0.0,0.0
Braeburn,18,Tuesday,2.666666667,0.0
Braeburn,17,Tuesday,2.0,3.333333333
Braeburn,16,Tuesday,0.0,0.0
Braeburn,15,Tuesday,6.666666667,0.0
Braeburn,14,Tuesday,0.0,3.6363636360000005
Braeburn,13,Tuesday,0.0,10.0
Braeburn,12,Tuesday,2.222222222,0.0
Braeburn,11,Tuesday,0.0,1.333333333
Braeburn,10,Tuesday,0.0,0.0
Braeburn,9,Tuesday,46.15384615,0.0
Braeburn,8,Tuesday,2.105263158,0.0
Braeburn,7,Tuesday,0.0,0.0
Braeburn,6,Tuesday,0.0,0.0
Braeburn,5,Tuesday,13.33333333,3.6363636360000005
Braeburn,4,Tuesday,0.0,0.0
Braeburn,3,Tuesday,3.75,2.857142857
Bartlett,20,Wednesday,6.666666667,2.5
Bartlett,19,Wednesday,3.333333333,2.5
Bartlett,18,Wednesday,0.0,5.0
Bartlett,17,Wednesday,2.5,12.12121212
Bartlett,16,Wednesday,0.0,0.0
Bartlett,15,Wednesday,0.0,9.375
Bartlett,14,Wednesday,0.0,2.5
Bartlett,13,Wednesday,1.8181818180000002,1.5384615380000002
Bartlett,12,Wednesday,0.0,4.0
Bartlett,11,Wednesday,0.0,3.333333333
Bartlett,10,Wednesday,0.0,1.5384615380000002
Bartlett,9,Wednesday,0.0,0.0
Bartlett,8,Wednesday,0.0,0.0
Bartlett,7,Wednesday,5.0,2.222222222
Bartlett,6,Wednesday,0.0,0.0
Bartlett,5,Wednesday,10.0,2.0
Bartlett,4,Wednesday,0.0,6.666666667
Bartlett,3,Wednesday,0.0,0.0
Braeburn,19,Wednesday,0.0,1.6666666669999999
Braeburn,18,Wednesday,20.0,0.0
Braeburn,17,Wednesday,0.0,0.9090909091
Braeburn,16,Wednesday,0.0,0.0
Braeburn,15,Wednesday,3.75,0.0
Braeburn,14,Wednesday,5.714285714,1.6666666669999999
Braeburn,13,Wednesday,0.0,0.0
Braeburn,12,Wednesday,5.714285714,0.0
Braeburn,11,Wednesday,0.0,0.0
Braeburn,10,Wednesday,0.0,0.0
Braeburn,9,Wednesday,2.0,0.0
Braeburn,8,Wednesday,0.0,0.0
Braeburn,7,Wednesday,0.0,0.0
Braeburn,6,Wednesday,10.0,4.615384615
Braeburn,5,Wednesday,0.0,0.0
Braeburn,4,Wednesday,0.0,0.0
Braeburn,3,Wednesday,0.0,1.6666666669999999
Bartlett,20,Thursday,0.0,1.8181818180000002
Bartlett,19,Thursday,2.5,2.0
Bartlett,18,Thursday,0.0,0.0
Bartlett,17,Thursday,0.0,2.222222222
Bartlett,16,Thursday,0.0,1.6666666669999999
Bartlett,15,Thursday,0.0,0.0
Bartlett,14,Thursday,0.0,0.0
Bartlett,13,Thursday,96.0,0.0
Bartlett,12,Thursday,0.0,1.5384615380000002
Bartlett,11,Thursday,0.0,0.0
Bartlett,10,Thursday,3.6363636360000005,0.0
Bartlett,9,Thursday,6.666666667,0.0
Bartlett,8,Thursday,0.0,0.0
Bartlett,7,Thursday,0.0,0.0
Bartlett,6,Thursday,0.0,0.0
Bartlett,5,Thursday,3.0,0.0
Bartlett,4,Thursday,0.0,0.0
Bartlett,3,Thursday,0.0,0.4651162791
